City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,tiksi,RU,2022-05-25 17:44:17,71.6872,128.8694,268.03,93,100,3.5
139,caravelas,BR,2022-05-25 17:44:18,-17.7125,-39.2481,296.44,83,8,4.33
140,almaznyy,RU,2022-05-25 17:44:19,48.0448,40.045,285.46,70,81,2.21
141,quatre cocos,MU,2022-05-25 17:44:20,-20.2078,57.7625,296.21,72,30,4.07
142,urusha,RU,2022-05-25 17:44:20,54.05,122.9,282.62,64,26,1.7
143,arman,RU,2022-05-25 17:44:21,59.7,150.1667,277.05,99,100,2.35
144,mus,TR,2022-05-25 17:44:22,39.0,41.75,280.54,53,5,2.42
145,cape town,ZA,2022-05-25 17:41:44,-33.9258,18.4232,290.99,87,75,3.09
146,wielun,PL,2022-05-25 17:44:23,51.221,18.5696,285.94,90,97,3.38
147,huilong,CN,2022-05-25 17:44:24,31.8111,121.655,294.22,78,97,1.91
148,wuhu,CN,2022-05-25 17:44:24,31.3366,118.3755,295.56,69,100,4.28
149,bure,ET,2022-05-25 17:44:25,10.7,37.0667,291.42,61,70,3.68
150,sault sainte marie,CA,2022-05-25 17:40:34,46.5168,-84.3333,288.05,54,75,3.09
151,majagual,CO,2022-05-25 17:44:26,8.5389,-74.6204,304.2,63,100,0.69
152,manzhouli,CN,2022-05-25 17:44:27,49.6,117.4333,287.48,33,31,2.71
153,upernavik,GL,2022-05-25 17:44:28,72.7868,-56.1549,268.71,63,91,3.86
154,fairbanks,US,2022-05-25 17:44:29,64.8378,-147.7164,284.38,58,100,2.57
155,saskylakh,RU,2022-05-25 17:44:29,71.9167,114.0833,262.43,98,94,1.45
156,colombo,LK,2022-05-25 17:44:30,6.9319,79.8478,300.12,85,99,4.36
157,college,US,2022-05-25 17:44:31,64.8569,-147.8028,284.37,57,75,2.57
158,paamiut,GL,2022-05-25 17:44:31,61.994,-49.6678,272.02,55,32,0.73
159,elat,IL,2022-05-25 17:44:32,29.5581,34.9482,307.06,16,0,5.14
160,tuatapere,NZ,2022-05-25 17:44:33,-46.1333,167.6833,279.13,81,95,0.26
161,high level,CA,2022-05-25 17:44:33,58.5169,-117.136,284.21,62,75,4.63
162,turbat,PK,2022-05-25 17:44:34,26.0023,63.044,302.7,68,0,3.36
163,cayenne,GF,2022-05-25 17:44:35,4.9333,-52.3333,303.2,22,40,6.17
164,echirolles,FR,2022-05-25 17:44:35,45.1333,5.7167,294.61,68,68,2.09
165,clyde river,CA,2022-05-25 17:44:36,70.4692,-68.5914,265.28,86,100,8.75
166,whitehorse,CA,2022-05-25 17:44:03,60.7161,-135.0538,280.98,67,75,2.06
167,buluang,PH,2022-05-25 17:44:37,13.3068,123.3425,298.53,90,56,1.27
168,krasnyy chikoy,RU,2022-05-25 17:44:38,50.3643,108.7512,281.59,61,0,1.43
169,guaraniacu,BR,2022-05-25 17:44:39,-25.1008,-52.8781,295.43,54,0,2.98
170,madaoua,NE,2022-05-25 17:44:39,14.073,5.96,308.87,14,5,3.08
171,mackay,AU,2022-05-25 17:41:36,-21.15,149.2,292.25,89,55,5.04
172,senneterre,CA,2022-05-25 17:44:41,48.3835,-77.2328,293.42,31,93,2.23
173,bredasdorp,ZA,2022-05-25 17:41:27,-34.5322,20.0403,288.83,88,79,2.3
